loss,offset_decks,no,condition,dur_measured_decks,dur_win,deck_select,offset_win,init_mark,frames_before_decks,onset_decks,n_moves,exp_type,win,total,dur_decks,t_select,onset_win,session,t_moves,rt_select,frames_after_decks,ID
0,,1,iowa_exp,,240,1,,0,72,1.0016630999998597,0,"['fMRI', 'EEG', 'MEG']",100,100,600,1.9422185999992507,2.349521599999207,4,[],0.940555499999391,48,
0,,2,iowa_exp,,240,2,,1,72,5.018540899998698,0,"['fMRI', 'EEG', 'MEG']",100,200,600,5.617861799999446,6.0176562999986345,4,[],0.5993209000007482,48,
0,,3,iowa_exp,,240,3,,2,72,8.670001499998762,0,"['fMRI', 'EEG', 'MEG']",50,250,600,9.260829699998794,9.660724599998503,4,[],0.5908282000000327,48,
0,,4,iowa_exp,,240,4,,2,72,12.29642789999889,1,"['fMRI', 'EEG', 'MEG']",50,300,600,13.062289199999213,13.462204099998416,4,[12.753818299999693],0.7658613000003243,48,
-50,,5,iowa_exp,,240,3,,2,72,16.147855600000184,0,"['fMRI', 'EEG', 'MEG']",50,300,600,16.697834499998862,17.10527059999913,4,[],0.5499788999986777,48,
0,,6,iowa_exp,,240,3,,1,72,19.782635099998515,1,"['fMRI', 'EEG', 'MEG']",50,350,600,20.73201489999883,21.1318768000001,4,[20.398415399999067],0.9493798000003153,48,
0,,7,iowa_exp,,240,4,,3,72,23.77591129999928,0,"['fMRI', 'EEG', 'MEG']",50,400,600,24.325043499999083,24.72498469999846,4,[],0.5491321999998036,48,
-50,,8,iowa_exp,,240,3,,1,72,27.343955399999686,1,"['fMRI', 'EEG', 'MEG']",50,400,600,28.103097699999125,28.501389399998516,4,[27.826840799998536],0.7591422999994393,48,
0,,9,iowa_exp,,240,4,,1,72,31.162086199999976,2,"['fMRI', 'EEG', 'MEG']",50,450,600,32.061312399999224,32.46128729999873,4,"[31.602911899999526, 31.844675399999687]",0.8992261999992479,48,
-50,,10,iowa_exp,,240,3,,2,72,35.10526849999951,0,"['fMRI', 'EEG', 'MEG']",50,450,600,35.655261599998994,36.06269109999994,4,[],0.5499930999994831,48,
